번호,소재지전화,사업장명
316,053-609-5000,달서미즈맘병원
317,053-550-6700,우리병원
318,053-593-7587,성서요양병원
319,053-959-7114,대구시티병원
320,053-313-6006,강북요양병원
321,053-210-7777,로즈마리병원
322,053-951-9119,의료법인 효민의료재단 대구큰사랑요양병원
323,533410119,의료법인 백산의료재단 K마디병원
324,533505000,의료법인강의료재단 강병원
325,053-356-7001,무지개아동병원
326,053-326-0078,햇살요양병원
327,053-954-7771,신세계병원
328,053-383-2700,의료법인배성의료재단 배성병원
329,053-325-0009,성동병원
330,053-326-7575,대구삼선병원
331,053-422-3114,한성병원
332,053-320-2500,대구가톨릭대학교 칠곡가톨릭병원
333,053-359-3771,M병원
334,053-311-2001,대구병원
335,053-669-1000,첨단요양병원
336,053-320-1900,대구보건대학교병원
337,053-200-2000,칠곡경북대학교병원
338,533849119,뉴라이프병원
339,715-7575,근로복지공단 대구병원
340,053-354-5555,한솔요양병원
341,053-321-0020,아리채요양병원
342,053-718-7700,척척병원
343,533266800,문요양병원
344,053-256-3456,칠성요양병원
345,053-219-1133,해피아이병원
346,353-4900,침산제이병원
347,054-432-8901,경상북도김천의료원
348,054-432-5040,의료법인 영은의료재단 김천신경정신병원
349,054-420-9300,의료법인 덕산의료재단 김천제일병원
350,054-420-7200,경상북도립김천노인전문요양병원
351,054-430-0202,김천요양병원
352,041-689-7000,충청남도서산의료원
353,041-661-1000,서산중앙병원
354,042-840-7676,계룡장수요양병원
355,041-665-1166,우리요양병원
356,041-521-7000,대전대학교천안한방병원
357,041-550-7114,단국대학교의과대학부속병원
358,041-570-7555,의료법인영서의료재단천안충무병원
359,041-572-4567,혜성산부인과병원
360,041-754-8272,새금산병원
361,041-751-2111,금산효사랑요양병원
362,754-0060,새금산요양병원
363,041-943-8114,의료법인 연훈의료재단 청양훈요양병원
364,041-944-1277,의료법인 가온의료재단 청양요양병원
365,041-548-9851,의료법인 정빈의료재단 아산병원
366,041-543-3580,열린성애병원
367,041-335-2255,예산명지병원
368,041-330-4000,의료법인 예당의료재단 예산종합병원
369,041-571-7000,예일병원
370,041-564-2875,고려치과병원
371,041-590-9000,천안우리병원
372,552-0005,가온치과병원
373,041-521-1114,천안시립노인전문병원
374,041-551-3391,삼성스카이병원
375,577-2233,열린치과병원
376,041-563-2875,문치과병원
377,041-579-1400,이화병원
378,579-2244,연세우일치과병원
379,041-836-1985,부여노인전문병원
380,041-833-2089,부여청담병원
381,041-832-7261,의료법인부여의료재단 부여다사랑병원
382,041-837-1200,학교법인 건양교육재단 건양대학교부여병원
383,041-834-5114,부여효요양병원
384,041-569-5533,천안요양병원
385,041)566-5119,마음애병원
386,041-553-1234,의료법인세온의료재단브라운요양병원
387,-5684,우리척병원
388,041-417-3500,참조은치과병원
389,041-579-2122,두정이진병원
390,1544-2822,서울우리병원
391,041-360-5555,의료법인 다솔의료재단 늘푸른요양병원
392,041-529-7000,이화피닉스요양병원
393,041-536-6666,아산충무병원
394,041-533-3391,꿈크는아이병원
395,-2886,도솔한방병원
396,041-962-1111,충청남도 공주의료원
397,041-840-5400,국립법무병원
398,041-850-5700,국립공주병원
399,041-546-3636,현대병원
400,041-545-6114,미래한국병원
401,041-549-7575,아산삼성요양병원
402,041-540-3900,리더스아산병원
403,041-833-7200,의료법인연화의료재단 부여요양병원
404,041-568-2632,제중한방병원
405,041-575-6000,본정형외과병원
406,041-590-7777,다나힐요양병원
407,1522-7634,천안21세기병원
408,041-576-5700,앙즈로여성병원
409,041-555-2879,더보스톤치과병원
410,041-415-0001,서울대정병원
411,041-410-2100,로고스요양병원
412,041-413-7100,메디움천안요양병원
413,041-571-7581,SG삼성조은병원
414,041-574-1777,천안쌍용요양병원
415,041-581-9999,마디손병원
416,041-546-9800,신도시이진병원
417,041-542-8118,의료법인 광덕의료재단 도고온천요양병원
418,041-552-0700,천안세인트요양병원
419,041-561-0245,천안중앙병원
420,041-622-1300,화인메트로병원
421,041-579-1190,큰사랑요양병원
422,041-520-7010,새로나병원
423,041-550-0114,단국대학교치과대학치과병원
424,041-881-6100,의료법인 효심의료재단 공주참요양병원
425,041-841-2984,의료법인 효준의료재단 공주요양병원
426,041-854-6701,주은라파스요양병원
427,041-858-9900,공주에덴요양병원
428,041-851-8200,세종프라임요양병원
429,041-545-2875,의료법인 산울의료재단 스파인치과병원
430,041-549-2100,아산유리의료재단 아산유리요양병원
431,041-570-7200,충청남도천안의료원
432,041-851-7575,공주푸르메요양병원
433,041-850-7500,현대요양병원
434,041-852-7979,맑은마음병원
435,041-852-8575,라온요양병원
436,041-745-6771,라파엘 요양병원
437,041-733-0300,논산사랑요양병원
438,041-734-6700,논산하나요양병원
439,041-736-7584,의료법인예향의료재단예향요양병원
440,041-734-9100,성지하임병원
441,041-734-6767,한마음요양병원
442,041-730-2800,의료법인명일의료재단 대정요양병원
443,041-736-3000,의료법인나성의료재단논산행복한요양병원
444,041-745-1500,강경효사랑요양병원
445,041-630-6251,충청남도홍성의료원
446,041-642-0001,장수요양병원
447,041-632-2332,홍주요양병원
448,041-631-7541,신동환병원
449,041-631-2757,의료법인 디와이 의료재단 홍성요양병원
450,041-634-2088,홍성한국병원
451,041-673-9800,경희치과병원
452,041-672-2900,의료법인태안의료재단현대요양병원
453,041-733-2191,의료법인백제병원
454,041-740-7814,육군훈련소 지구병원
455,041-734-9911,논산시립노인전문병원
456,041-741-5552,연무요양병원
457,055-748-5555,장덕한방병원
458,031-272-0000,우리호병원
459,1899-1004,연세대학교 의과대학 용인세브란스병원
460,031-332-3194,서울특별시 백암정신병원
461,031-300-0114,강남병원
462,031-693-7528,컬럼비아치과병원
463,031-285-6900,엠플러스병원
464,031-284-7577,동백요양병원
465,031-630-4200,경기도의료원 이천병원
466,031-635-2624,이천파티마병원
467,031-637-8844,의료법인양지의료재단양지요양병원
468,630-0300,바른병원
469,031-642-8871,이천엘리야병원
470,031-637-7400,이천소망병원
471,031-644-9141,한국관광대학 부설 노인전문병원
472,031-889-8700,메디하임효요양병원
473,031-641-3080,의료법인 목민의료재단 장호원요양병원
474,-8158,연세스카이치과병원
475,1644-0810,추새로병원
476,031-637-6370,이천효요양병원
477,031-288-0114,용인정신병원
478,031-288-0400,경기도립노인전문용인병원
479,031-288-0500,효자병원
480,031-282-9114,용인효요양병원
481,031-333-7585,로하스용인요양병원
482,031-217-0303,하워드힐병원
483,031-8005-2875,단국대학교 치과대학 죽전치과병원
484,031-338-0911,포브스요양병원
485,031-212-1500,이음병원
486,031)898-0007,의료법인이젠의료재단러스크병원
487,031-1899-7580,서울예스병원
488,031-321-8275,조은손병원
489,1588-7542,연세프라임병원
490,031-216-2279,베스트안요양병원
491,031-337-0114,(의)효심의료재단 용인서울병원
492,031-216-9888,광교참좋은병원
493,031-339-1000,(의)유일재단 하나애병원
494,031-8021-2114,(의)영문의료재단 다보스병원
495,031-329-2999,샘물호스피스병원
496,031-335-5000,용인서울요양병원
497,031-547-0800,굿모닝한방병원
498,031-8001-8000,흥덕우리요양병원
499,031-285-2000,케어스힐요양병원
500,031-8005-1300,린병원
501,031-659-7800,(의)현당의료재단 늘봄요양병원
502,031-830-8200,의료법인이정의료재단효사랑병원
503,031-282-8123,더원요양병원
504,031-262-0050,(의)수지의료재단 용인수지병원
505,063582-7119,하나성심병원
506,063-902-8000,드림한방병원
507,055-755-3311,예담소아청소년과병원
508,062-266-8080,대중병원
509,031-8049-0077,김포에이치(H)병원
510,062-519-7588,광주참병원
511,031-8083-7575,김포아이제일병원
512,031-373-7585,웰봄병원
513,02-6274-2580,광명기대찬병원
514,1833-2275,유나이티드병원
515,031-816-1010,차연요양병원
516,1577-6622,계명대학교동산병원
517,032-434-9993,라임요양병원
518,031-372-8600,평안한사랑병원
519,044-850-7700,의료법인 영제 의료재단 엔케이세종병원
520,062-714-2406,첨단튼튼병원
521,032-438-0808,송도하나요양병원
522,062-720-2000,동행요양병원
523,062-231-9999,편안손한방병원
524,031-662-3210,의료법인자비의료재단 더나은요양병원
525,02-406-0999,송파그랜드요양병원
526,055-785-0000,양산더존한방병원
527,031-563-9999,아이맘어린이병원
528,051-752-8000,가나안요양병원
529,1577-0007,천안자생한방병원
530,032-503-8275,의료법인 정강의료재단 부평수한방병원
531,052-716-5170,아이마음아동병원
532,02-1899-8580,포레메디한방병원
533,052)276-3500,좋은의사들안과병원
534,042-710-6000,둔산엔젤요양병원
535,041-936-2222,의료법인 삼환의료재단 대천중앙병원
536,02-3427-8275,더웰샘한방병원
537,062-450-3000,일곡요양병원
538,055-983-1000,산청요양병원
539,02-2603-0300,강서바른세상병원
540,245-7000,의료법인성하의료재단 포항인성병원
541,-9119,김포미즈한방병원
542,061914-1001,수요양병원
543,031-437-6700,우리한방병원
544,061654-0000,의료법인보듬의료재단 봄빛요양병원
545,031-403-2700,해솔한방병원
546,031-934-2100,운정서울대효요양병원
547,032-424-7555,인천정병원
548,0421522-6705,봉키병원
549,051-711-7571,메타한방병원
550,055-296-5000,다나병원
551,,척바른병원
552,053-710-8211,더퍼스트병원
553,053-953-1578,엔케이라피움한방병원
554,061763-1004,365굿모닝한방병원
555,055 265 8277,창원튼튼i병원
556,031-797-7511,채움한방병원
557,062-467-7007,더조은한방병원
558,062-716-7160,두암한방병원
559,062-226-0600,씨엠맘삼성병원
560,062-416-7500,동구한방병원
561,062-710-4900,올림픽한방병원
562,062-710-7510,호연한방병원
563,062-716-6000,은행나무한방병원
564,062-520-0800,광주누가요양병원
565,062-613-9000,호남권역재활병원
566,062-573-1075,메디웰한방병원
567,053-615-4871,성요셉요양병원
568,053-219-7000,앞산요양병원
569,053-560-7575,대구의료원
570,053-555-0660,대덕의료재단 보람요양병원
571,053-477-7500,메디암요양병원
572,053-215-0119,뉴영대요양병원
573,053-260-7777,한영한마음아동병원
574,053-670-6000,통합의료진흥원 전인병원
575,053-213-2300,고은재활요양병원
576,053-630-3000,대구정신병원
577,053-762-1400,의료법인가창삼성의료재단 가창삼성요양병원
578,053-614-0075,열린중앙병원
579,053-560-1100,한솔병원
580,053-626-9988,달성요양병원
581,053-640-8000,화원연세병원
582,053-295-7000,가창파티마요양병원
583,053-572-7770,곽호순병원
584,053-552-1119,열린큰병원
585,053-521-9500,세민병원
586,053-558-5800,대명의료재단서대구병원
587,053-565-9200,한신병원
588,053-570-7600,대구광역시서부노인전문병원
589,053-720-0365,새동산병원
590,053-558-1001,대구연세요양병원
591,053-570-1004,웰니스1004요양병원
592,053-571-6000,제이병원
593,053-552-9400,참튼튼병원
594,053-562-2500,열린요양병원
595,053-525-8200,남대구요양병원
596,053-551-9119,제일효요양병원
597,053-752-8683,인제재활병원
598,053-720-5061,시지에프엠치과병원
599,053-766-7070,의료법인경동의료재단효성병원
600,053-766-2114,송효의료재단효산요양병원
601,053-794-9400,파티마여성병원
602,053-659-7000,문성병원
603,053-470-1000,힘센병원
604,053-620-9100,대구굿모닝병원
605,053-640-8800,드림종합병원
606,053-628-1000,리더스재활의학병원
607,053-657-2111,성심요양병원
608,053-625-3000,대구요양병원
609,053-716-7300,수성명가요양병원
610,053-766-8700,수성중동병원
611,053-710-0500,굳센병원
612,053-710-9988,참좋은요양병원
613,053-721-7114,수성아동병원
614,053-254-0000,라온치과병원
615,053-780-3000,의료법인한성재단동아메디병원
616,053-756-0911,올곧은병원
617,053-784-2000,수성요양병원
618,053-767-2200,스위스요양병원
619,053-740-1000,의료법인해정의료재단더좋은병원
620,053-794-6000,오성치과병원
621,053-819-2004,대구광역시시지노인전문병원
622,053-743-7777,의료법인춘곡의료재단수성메트로병원
623,053-790-1000,(재)미리내천주성삼성직수도회천주성삼병원
624,053-740-7703,여성메디파크병원
625,053-756-2119,수성한미병원
626,053-745-2001,동인외과병원
627,053-763-2000,의료법인정목의료재단한패밀리요양병원
628,053-741-1100,윌치과병원
629,053-650-3000,대구가톨릭대학교병원
630,053-623-8001,영남대학교병원
631,053-757-2000,W여성병원
632,053-749-0000,열경의료재단동부허병원
633,053-1688-7770,대구파티마병원
634,053-663-1000,대동병원
635,053-959-1751,제일안과병원
636,1644-8575,의료법인 백천의료재단 바로본병원
637,053-980-9800,안심리더스요양병원
638,053-980-9000,강남종합병원
639,053-940-3000,든든한병원
640,053-983-4300,강남요양병원
641,053-260-7000,대구명성요양병원
642,1877-6622,여성아이병원
643,053-657-2000,베스트병원
644,053-960-1000,안심요양병원
645,053-746-3232,효경지요양병원
646,053-961-9962,진병원
647,053-957-7551,동대구요양병원
648,053-957-3111,한가람병원
649,053-983-7700,이시아요양병원
650,053-721-7575,바른요양병원
651,053-267-8000,온빛병원
652,053-591-9111,한결요양병원
653,535555520,더열린병원
654,053-634-0000,라온치과병원
655,537205700,대구행복요양병원
656,053-632-0808,월배요양병원
657,536291900,서부라온치과병원
658,762-8228,라파엘병원
659,053-471-2800,푸른병원
660,053-717-7575,척탑병원
661,054330-7700,의료법인동승의료재단동승병원
662,054337-5119,의료법인무일의료재단 참좋은요양병원
663,054-741-2005,새천년 병원
664,054-971-1002,의료법인왜관병원
665,054-979-7114,의료법인혜원의료재단혜원성모병원
666,054-976-0401,의료법인고산의료재단칠곡시몬병원
667,054-976-2580,의료법인유민의료재단산울림병원
668,054-975-7900,의료법인효천의료재단팔공요양병원
669,976-7777,칠곡군립 노인요양병원
670,533257100,언더로뎀요양병원
671,054-716-1800,남구미요양병원
672,054-457-8676,바른유병원
673,054-474-5522,의료법인 서정의료재단 강동요양병원
674,054-743-6688,맘존 여성병원
675,054-741-1212,경주굿모닝병원
676,054-742-3177,에스요양병원
677,054-700-9272,경주요양병원
678,054-451-2000,구미미르치과병원
679,054-770-9500,계명대학교 경주동산병원
680,054-748-9300,동국대학교 의과대학 경주병원
681,054-763-8000,안강중앙병원
682,054-741-2300,의료법인 성산의료재단 새빛병원
683,054-749-6666,의료법인소양의료재단 서울요양병원
684,054-743-6200,경주시립 노인전문 요양병원
685,054-705-2700,한빛아동병원
686,054-745-8118,현대병원
687,773-8500,의료법인 송암의료재단 중앙요양병원
688,749-0002,의료법인 일원의료재단 늘푸른요양병원
689,054-624-2000,신경주요양병원
690,054-760-0000,의료법인 바로의료재단 미루요양병원
691,054-716-0010,그랜드치과병원
692,774-5400,의료법인송죽의료재단경주으뜸요양병원
693,054744-0009,위더스요양병원
694,054334-4771,의료법인손재림의료재단영천손한방병원
695,054338-9000,영남대학교의과대학부속영천병원
696,054336-3311,의료법인고담의료재단마야병원
697,054330-9500,의료법인효은의료재단 효사랑요양병원
698,054336-3000,영천요양병원
699,054-420-7100,신애정신병원
700,032-580-6000,인천광역시의료원
701,032)765-7070,의료법인 성수의료재단 인천백병원
702,061-686-2275,의료법인 모아의료재단 모아치과병원
703,041-565-2300,백석요양병원
704,041-555-8275,의료법인 혜강의료재단 혜강병원
705,041-567-2277,의료법인아선의료재단메디케어요양병원
706,041-575-7100,천안재활병원
707,041-415-2222,돋움병원
708,041-415-1004,천안우리요양병원
709,041-415-1075,바른한방병원
710,319460202,미소래병원
711,954-1400,무척조은병원
712,070-4702-2500,파주미래아동병원
713,031-944-1797,메디힐요양병원
714,031-948-5570,자성대 요양병원
715,1877-9986,우리애요양병원
716,031-953-0000,예담요양병원
717,031-954-8275,소망요양병원
718,031-945-6090,파주로하스요양병원
719,031-942-6262,운정한강요양병원
720,031-959-8799,월산암요양병원
721,031-540-0200,기대플러스병원
722,031-940-9100,경기도의료원파주병원
723,935-5678,광탄현대병원
724,949-9004,자유로요양병원
725,947-0000,조앤조숲요양병원
726,031-947-6400,민들레병원
